Produktname,Kategorie,Unterkategorie,Preis_EUR,Startdatum,Enddatum,Supermarkt
Streichmettwurst (grob mit oder ohne Knoblauch je 100 g),Fleischwaren,Wurstwaren,1.59,2025-06-16,2025-06-22,Rewe
Pick Original ungarische Salami oder Paprika-Kolbasz (je 100 g),Fleischwaren,Wurstwaren,2.49,2025-06-16,2025-06-22,Rewe
Tannenhof Gekochtes Mett in Gelee (je 100 g),Fleischwaren,Wurstwaren,1.49,2025-06-16,2025-06-22,Rewe
Timmendorfer Matrosenwurst oder Riesen-Matrosenwurst (je 100 g),Fleischwaren,Wurstwaren,1.99,2025-06-16,2025-06-22,Rewe
Appenzeller mild-würzig (Schweizer Hartkäse mind. 48% Fett i.Tr. je 100 g),Lebensmittel,Milchprodukte/Käse,1.99,2025-06-16,2025-06-22,Rewe
Milram Burlander (Schnittkäse 45% Fett i.Tr. je 100 g),Lebensmittel,Milchprodukte/Käse,1.11,2025-06-16,2025-06-22,Rewe
Florette oder Florette Caractere (frz. Weichkäse je 125-g-Pckg.),Lebensmittel,Milchprodukte/Käse,3.99,2025-06-16,2025-06-22,Rewe
Mirée Französische Kräuter (je 150-g-Becher) oder Exquisa Der Sahnige (je 200-g-Pckg.),Lebensmittel,Milchprodukte/Käse,0.99,2025-06-16,2025-06-22,Rewe
Herta Saftschinken oder Grillschinken (je 100-g-Pckg.),Lebensmittel,Fleisch/Wurst,1.69,2025-06-16,2025-06-22,Rewe
Grünländer Käsescheiben oder Würfel (je 140-g-Pckg.),Lebensmittel,Milchprodukte/Käse,1.69,2025-06-16,2025-06-22,Rewe
Zott Zottarella Classic Rolle (200-g-Abtropfgew.) oder Cheese Tiger Original (je 84-g-Pckg.),Lebensmittel,Milchprodukte/Käse,1.99,2025-06-16,2025-06-22,Rewe
Citterio Prosciutto di Parma (je 70-g-Pckg.),Lebensmittel,Fleisch/Wurst,2.69,2025-06-16,2025-06-22,Rewe
Gazi Grill- und Pfannenkäse Kräuter (45% Fett i.Tr. je 200-g-Pckg.),Lebensmittel,Milchprodukte/Käse,2.22,2025-06-16,2025-06-22,Rewe
Géramont Scheiben mit Skyr (je 150-g-Pckg.) oder Weichkäse (je 200-g-Pckg.),Lebensmittel,Milchprodukte/Käse,2.22,2025-06-16,2025-06-22,Rewe
Wiesenhof Bruzzzler Minis (je 350-g-Pckg.) oder Bruzzzler Original (je 5x80-g-Pckg.),Lebensmittel,Fleisch/Wurst,3.99,2025-06-16,2025-06-22,Rewe
Wasa Tasty Snacks Crisps (je 190-g-Pckg.) oder Rounds (je 235-g-Pckg.),Lebensmittel,Snacks/Gebäck,1.99,2025-06-16,2025-06-22,Rewe
Brandt Finn Crisp Chia & Meersalz (je 195-g-Pckg.) oder Original (je 200-g-Pckg.),Lebensmittel,Snacks/Gebäck,1.49,2025-06-16,2025-06-22,Rewe
Kerrygold Original Irische Butter (je 250-g-Pckg.) oder Kräuterbutter (je 125-g-Becher),Lebensmittel,Milchprodukte/Fette,2.22,2025-06-16,2025-06-22,Rewe
Lätta Original (je 450-g-Becher),Lebensmittel,Milchprodukte/Fette,1.29,2025-06-16,2025-06-22,Rewe
Alpro Barista Haferdrink (je 1-l-Pckg.),Lebensmittel,Milchalternativen/Getränke,1.49,2025-06-16,2025-06-22,Rewe
Weihenstephan Haltbare Milch (1.5/3.5% Fett je 1-l-Pckg.),Lebensmittel,Milchprodukte/Getränke,1.19,2025-06-16,2025-06-22,Rewe
Meine Lieblinge Lachs (je 100-g-Pckg.),Lebensmittel,Fisch,3.49,2025-06-16,2025-06-22,Rewe
Bärenmarke Eiskaffee (versch. Sorten je 200-ml-Becher),Getränke,Kaffee/Tee,0.99,2025-06-16,2025-06-22,Rewe
Ehrmann Grand Dessert Mousse (versch. Sorten je 170-g-Becher),Lebensmittel,Milchprodukte/Desserts,0.99,2025-06-16,2025-06-22,Rewe
Rama Cremefine (versch. Fettstufen je 250-ml-Fl.),Lebensmittel,Kochzutaten/Saucen,0.99,2025-06-16,2025-06-22,Rewe
Arla Skyr (versch. Sorten je 250-g-Becher),Lebensmittel,Milchprodukte/Desserts,0.89,2025-06-16,2025-06-22,Rewe
Ehrmann High Protein Mousse (versch. Sorten je 200-g-Becher),Lebensmittel,Milchprodukte/Desserts,1.29,2025-06-16,2025-06-22,Rewe
Gustavo Gusto Pizza Margherita (tiefgefroren je 410-g-Pckg.) oder Pizza Salame (tiefgefroren je 460-g-Pckg.),Lebensmittel,Tiefkühlkost/Pizza,3.33,2025-06-16,2025-06-22,Rewe
Frosta Schlemmerfilet Brokkoli Mandel (tiefgefroren je 360-g-Pckg.) oder Fischstäbchen (tiefgefroren je 450-g-Pckg.),Lebensmittel,Tiefkühlkost/Fisch,2.79,2025-06-16,2025-06-22,Rewe
Iglo Chicken Nuggets (versch. Sorten tiefgefroren je 250-g-Pckg.),Lebensmittel,Tiefkühlkost/Fleisch,2.99,2025-06-16,2025-06-22,Rewe
Dr. Oetker Pizza Tradizionale Salame Romano (tiefgefroren je 385-g-Pckg.) oder Die Ofenfrische Vier Käse (tiefgefroren je 410-g-Pckg.),Lebensmittel,Tiefkühlkost/Pizza,2.22,2025-06-16,2025-06-22,Rewe
Langnese Cremissimo Bourbon Vanille (je 1300-ml-Becher) oder Haselnuss Vanilla Schokolade (je 1000-ml-Becher),Lebensmittel,Tiefkühlkost/Eis,1.88,2025-06-16,2025-06-22,Rewe
Magnum Stieleis (versch. Sorten je 6x100-ml-Pckg.),Lebensmittel,Tiefkühlkost/Eis,2.99,2025-06-16,2025-06-22,Rewe
Mondelez Multipackung Eis (Oreo oder Milka je 270-ml-Pckg.),Lebensmittel,Tiefkühlkost/Eis,2.22,2025-06-16,2025-06-22,Rewe
Billie Green Veganer Snack Salami-Style (versch. Sorten je 75-g-Btl.),Lebensmittel,Vegan/Vegetarisch,1.99,2025-06-16,2025-06-22,Rewe
LikeMeat vegane Fleischalternative (versch. Sorten je 180-g-Pckg.),Lebensmittel,Vegan/Vegetarisch,2.49,2025-06-16,2025-06-22,Rewe
Homann Kartoffelsalat (versch. Sorten je 400-g-Pckg.),Lebensmittel,Feinkost/Salate,1.79,2025-06-16,2025-06-22,Rewe
Deutschland Blattspinat (Kl. I je 250-g-Pckg.),Lebensmittel,Gemüse,1.29,2025-06-16,2025-06-22,Rewe
Deutschland Mini Gurke (Kl. I je St.),Lebensmittel,Gemüse,0.40,2025-06-16,2025-06-22,Rewe
Wulff Kasseler Zwiebelbauch (je 100 g),Lebensmittel,Fleisch/Wurst,2.29,2025-06-16,2025-06-22,Rewe
Hansano Haltbare Weidemilch (1.5% Fett je 1-l-Pckg.),Lebensmittel,Milchprodukte/Getränke,1.39,2025-06-16,2025-06-22,Rewe
Gmyrek Käsebratwurst (je 360-g-Pckg.),Lebensmittel,Fleisch/Wurst,3.99,2025-06-16,2025-06-22,Rewe
Kamar Geflügelbratwurst (versch. Sorten je 500-g-Pckg.),Lebensmittel,Fleisch/Wurst,3.49,2025-06-16,2025-06-22,Rewe
Lünebest Pur Fruchtjoghurt (versch. Sorten je 150-g-Becher),Lebensmittel,Milchprodukte/Desserts,0.44,2025-06-16,2025-06-22,Rewe
Popp Mayonnaise oder Remoulade (je 650-ml-Tube),Lebensmittel,Kochzutaten/Saucen,2.79,2025-06-16,2025-06-22,Rewe
Elvis Eis (versch. Sorten je 400-ml-Glas),Lebensmittel,Tiefkühlkost/Eis,4.49,2025-06-16,2025-06-22,Rewe
Auer Vanille Eiswaffeln (je 240-g-Pckg.),Lebensmittel,Süßwaren/Gebäck,1.49,2025-06-16,2025-06-22,Rewe
Christians Grød Original Dänische Dessertsauce (je 500-ml-Pckg.),Lebensmittel,Milchprodukte/Desserts,1.49,2025-06-16,2025-06-22,Rewe
Christians Grød Rote Grütze Sauerkirsche oder Erdbeere (je 500-g-Pckg.),Lebensmittel,Milchprodukte/Desserts,1.49,2025-06-16,2025-06-22,Rewe
Lay's Bugles (versch. Sorten je 75-g-Btl.),Lebensmittel,Snacks/Chips,1.19,2025-06-16,2025-06-22,Rewe
Nordthy Pubmix (je 450-g-Pckg.) oder Sødt & Salt (je 500-g-Pckg.),Lebensmittel,Snacks/Nüsse,3.99,2025-06-16,2025-06-22,Rewe
Hak Linsen (200-g-Abtropfgew.) oder Kichererbsen (200-g-Abtropfgew.),Lebensmittel,Konserven,1.49,2025-06-16,2025-06-22,Rewe
Block House Salat Dressing (versch. Sorten je 240-ml-Fl.),Lebensmittel,Kochzutaten/Saucen,1.99,2025-06-16,2025-06-22,Rewe
Werder Tomaten Ketchup (versch. Sorten je 450-ml-Fl.),Lebensmittel,Kochzutaten/Saucen,1.79,2025-06-16,2025-06-22,Rewe
Rapso Rapsöl (100% rein je 0.75-l-Fl.),Lebensmittel,Kochzutaten/Öle,3.79,2025-06-16,2025-06-22,Rewe
Schüssel-Set mit Deckel und Reiben (3 Schüsseln),Haushalt,Küchenutensilien,19.99,2025-06-16,2025-06-22,Rewe
Afri Cola Extra Koffein (je 1-l-Fl. zzgl. 0.25 Pfand),Getränke,Alkoholfreie Getränke,0.89,2025-06-16,2025-06-22,Rewe
Desmonds Lime Juice (je 0.75-l-Fl.),Getränke,Alkoholfreie Getränke,2.49,2025-06-16,2025-06-22,Rewe
Thomas Henry Tonic Water (je 0.75-l-Fl. zzgl. 0.15 Pfand),Getränke,Alkoholfreie Getränke,1.89,2025-06-16,2025-06-22,Rewe
Katlenburger Met Honigwein oder roter Met (je 0.75-l-Fl.),Getränke,Alkoholische Getränke,3.49,2025-06-16,2025-06-22,Rewe
Bundaberg Brew (versch. Sorten alkoholfrei je 0.33-l-Fl. zzgl. 0.08 Pfand),Getränke,Alkoholfreie Getränke,1.29,2025-06-16,2025-06-22,Rewe
Suntory -196 Vodka Lemon oder Grapefruit (10% Vol. je 0.33-l-Dose zzgl. 0.25 Pfand),Getränke,Alkoholische Getränke,1.99,2025-06-16,2025-06-22,Rewe
Effect Energy Drink (koffeinhaltig je 0.5-l-Dose zzgl. 0.25 Pfand),Getränke,Alkoholfreie Getränke,0.99,2025-06-16,2025-06-22,Rewe
Cooper's Cider Original (je 0.5-l-Dose zzgl. 0.25 Pfand),Getränke,Alkoholische Getränke,0.99,2025-06-16,2025-06-22,Rewe
Carlsberg Elephant Strong Beer (je 0.5-l-Dose zzgl. 0.25 Pfand),Getränke,Alkoholische Getränke,0.99,2025-06-16,2025-06-22,Rewe
Carlsberg Premium Beer (je 0.5-l-Dose zzgl. 0.25 Pfand),Getränke,Alkoholische Getränke,0.99,2025-06-16,2025-06-22,Rewe
Bonduelle Country-Mix (je 300-g-Btl.),Lebensmittel,Gemüse/Salat,2.29,2025-06-16,2025-06-22,Rewe
Gudbrandsdalen norwegischer Molkenkäse (35% Fett i.Tr. je 100 g),Lebensmittel,Milchprodukte/Käse,1.89,2025-06-16,2025-06-22,Rewe
Bergader Bergbauern Käse Weichkäse (versch. Sorten je 300-g-Pckg.),Lebensmittel,Milchprodukte/Käse,2.99,2025-06-16,2025-06-22,Rewe
Omami Tofu (versch. Sorten je 200-g-Pckg.),Lebensmittel,Vegan/Vegetarisch,2.19,2025-06-16,2025-06-22,Rewe
Golßener Spreewälder Salat (versch. Sorten je 700-g-Becher),Lebensmittel,Feinkost/Salate,2.99,2025-06-16,2025-06-22,Rewe
Frischli Leckermäulchen Milch-Quark (versch. Sorten je 150-g-Becher),Lebensmittel,Milchprodukte/Desserts,0.69,2025-06-16,2025-06-22,Rewe
Milka Schokoladenmilch (versch. Sorten je 250-ml-Fl. zzgl. 0.25 Pfand),Getränke,Milchprodukte/Getränke,0.99,2025-06-16,2025-06-22,Rewe
Little Moons Mochi Ice (versch. Sorten je 192-ml-Pckg.),Lebensmittel,Tiefkühlkost/Eis,3.99,2025-06-16,2025-06-22,Rewe
Sia Glass Eis (versch. Sorten je 840-ml-Pckg.),Lebensmittel,Tiefkühlkost/Eis,3.99,2025-06-16,2025-06-22,Rewe
Mars Celebrations. 269-g,Lebensmittel,Süßwaren/Pralinen,3.79,2025-06-16,2025-06-22,Rewe
Profagus Holzkohlebriketts Grillis oder Grill-Holzkohle Der Sommerhit (je 3-kg-Sack),Haushalt/Garten,Grillen,6.99,2025-06-16,2025-06-22,Rewe
Duroc Schweine-Rücken (ohne Knochen je 100 g),Lebensmittel,Fleisch,1.99,2025-06-16,2025-06-22,Rewe
Hähnchenspiesse mariniert (versch. Sorten je 360-g-Pckg.),Lebensmittel,Fleisch/Geflügel,4.99,2025-06-16,2025-06-22,Rewe
Ahrberg Rohe Schinkenwürstchen oder Grill-Bratwurst (je 500-g-Pckg.),Lebensmittel,Wurstwaren,5.99,2025-06-16,2025-06-22,Rewe
Halberstädter Wiener Würstchen (250-g-Abtropfgew. je 560-g-Glas) oder Bockwurst (400-g-Abtropfgew. je 680-g-Glas),Lebensmittel,Konserven/Wurstwaren,4.79,2025-06-16,2025-06-22,Rewe
Binckebanck Schinken- oder Rostbratwurst (je 9 x 80-g-Pckg.),Lebensmittel,Wurstwaren,6.39,2025-06-16,2025-06-22,Rewe
Repen Hamburger Jungs Käse-Krakauer oder Feine Bratwurst (je 400-g-Pckg.),Lebensmittel,Wurstwaren,5.89,2025-06-16,2025-06-22,Rewe
REWE Feine Welt Krosse Krüstchen (je 300-g-Pckg.),Lebensmittel,Backwaren/Snacks,1.59,2025-06-16,2025-06-22,Rewe
Pinsami Vorgebackener Pinsa Teig (versch. Sorten je 230-g-Pckg.),Lebensmittel,Backwaren/Teigwaren,2.79,2025-06-16,2025-06-22,Rewe
Bio Steinofen Landbrot (je 400-g-St.),Lebensmittel,Backwaren,1.89,2025-06-16,2025-06-22,Rewe
Krombacher Pils (versch. Sorten je 24 x 0.33l oder 20 x 0.5l-Fl.-Kasten),Getränke,Bier,10.79,2025-06-16,2025-06-22,Rewe
Paulaner Spezi oder Spezi Zero (koffeinhaltig je 20 x 0.5-l-Fl.-Kasten),Getränke,Softdrinks,10.99,2025-06-16,2025-06-22,Rewe
Coca-Cola (versch. Sorten teilw. koffeinhaltig je 20 x 0.5-l-Fl.-Kasten),Getränke,Softdrinks,14.99,2025-06-16,2025-06-22,Rewe
Nordlicht Landbier mild oder Pilsener (je 0.5-l-Dose),Getränke,Bier,0.59,2025-06-16,2025-06-22,Rewe
Nordlicht alkoholfreies Bier oder Radler (je 0.33-l-Dose),Getränke,Bier/Biermischgetränke,0.49,2025-06-16,2025-06-22,Rewe
Campari Bitter Aperitif (25% Vol. je 0.7-l-Fl.),Getränke,Spirituosen/Aperitif,10.99,2025-06-16,2025-06-22,Rewe
Nordlicht Landbier mild (je 20 x 0.33-l-Fl.-Kasten),Getränke,Bier,7.77,2025-06-16,2025-06-22,Rewe
Bacardi Carta Blanca Superior (37.5% Vol.) oder Spiced (35% Vol.) (je 0.7-l-Fl.),Getränke,Spirituosen/Rum,10.99,2025-06-16,2025-06-22,Rewe
Gorbatschow Wodka Original oder Raspberry (37.5% Vol. je 0.7-l-Fl.),Getränke,Spirituosen/Wodka,6.49,2025-06-16,2025-06-22,Rewe
Franziskaner Weissbier (versch. Sorten je 20 x 0.5-l-Fl.-Kasten),Getränke,Bier,13.99,2025-06-16,2025-06-22,Rewe
Hasseröder Premium Pils (je 24 x 0.33l oder 20 x 0.5-l-Fl.-Kasten),Getränke,Bier,9.99,2025-06-16,2025-06-22,Rewe
Corona Mexican Beer (je 20 x 355-ml-Fl.-Kasten),Getränke,Bier,16.99,2025-06-16,2025-06-22,Rewe
Warsteiner Pils (versch. Sorten je 24 x 0.33l oder 20 x 0.5-l-Fl.-Kasten),Getränke,Bier,10.99,2025-06-16,2025-06-22,Rewe
Tyskie Pils (je 20 x 0.5-l-Fl.-Kasten),Getränke,Bier,12.99,2025-06-16,2025-06-22,Rewe
Mio Mio (versch. Sorten teilw. koffeinhaltig je 12 x 0.5-l-Fl.-Kasten),Getränke,Softdrinks,8.49,2025-06-16,2025-06-22,Rewe
Deit Limonade (versch. Sorten teilw. koffeinhaltig je 12 x 1-l-Fl.-Kasten),Getränke,Softdrinks,8.49,2025-06-16,2025-06-22,Rewe
Veltins Pilsener (je 24 x 0.33l oder 20 x 0.5-l-Fl.-Kasten),Getränke,Bier,10.99,2025-06-16,2025-06-22,Rewe
Desperados Beer (versch. Sorten je 4 x 0.33-l-Fl.-Pckg.),Getränke,Biermischgetränke,4.99,2025-06-16,2025-06-22,Rewe
Happy Day Saft oder Nektar (versch. Sorten je 1-l-Pckg.),Getränke,Saft/Nektar,1.99,2025-06-16,2025-06-22,Rewe
Flensburger Pilsener (versch. Sorten je 20 x 0.33-l-Fl.-Kasten),Getränke,Bier,11.99,2025-06-16,2025-06-22,Rewe
Jever Pilsener oder Fun (versch. Sorten je 6 x 0.33-l-Fl.-Sixpack),Getränke,Bier,3.99,2025-06-16,2025-06-22,Rewe
Bad Harzburger Urquell (versch. Sorten je 12 x 1-l-Fl.-Kasten),Getränke,Wasser,4.99,2025-06-16,2025-06-22,Rewe
Erdinger Weißbier oder Brauhaus (je 20 x 0.5-l-Fl.-Kasten),Getränke,Bier,13.99,2025-06-16,2025-06-22,Rewe
Radeberger Pilsner (je 20 x 0.5-l-Fl.-Kasten),Getränke,Bier,10.99,2025-06-16,2025-06-22,Rewe
Red Bull Energy Drink (versch. Sorten je 0.25-l-Dose),Getränke,Energy Drinks,0.95,2025-06-16,2025-06-22,Rewe
Coca-Cola (versch. Sorten teilw. koffeinhaltig je 1.5-l-Fl.),Getränke,Softdrinks,1.19,2025-06-16,2025-06-22,Rewe
Gerolsteiner Schorle oder Limo (versch. Sorten je 0.75-l-Fl.),Getränke,Wasser/Softdrinks,0.99,2025-06-16,2025-06-22,Rewe
Jules Mumm Sekt (versch. Sorten je 0.75-l-Fl.),Getränke,Sekt/Prosecco,3.79,2025-06-16,2025-06-22,Rewe
El Cortez XO trocken (Spanien/Valencia je 0.75-l-Fl.),Getränke,Wein,5.99,2025-06-16,2025-06-22,Rewe
Bodegas Faustino V Reserva DOCA trocken (Spanien/Rioja je 0.75-l-Fl.),Getränke,Wein,8.99,2025-06-16,2025-06-22,Rewe
Maybach Secco (versch. Sorten je 0.75-l-Fl.),Getränke,Sekt/Prosecco,2.99,2025-06-16,2025-06-22,Rewe
Bio Rebe Merlot oder Chardonnay IGP trocken (Italien je 0.75-l-Fl.),Getränke,Wein,3.99,2025-06-16,2025-06-22,Rewe
Sarti Rosa Aperitivo (14% Vol. je 0.7-l-Fl.),Getränke,Spirituosen/Aperitif,14.99,2025-06-16,2025-06-22,Rewe
Berentzen Fruchtige (15-18% Vol. versch. Sorten je 0.7-l-Fl.),Getränke,Spirituosen/Likör,4.99,2025-06-16,2025-06-22,Rewe
Three Sixty Vodka Energy oder Pitu Caipirinha (10% Vol. je 0.33-l-Dose),Getränke,Alkopops,1.99,2025-06-16,2025-06-22,Rewe
Three Sixty Vodka (37.5% Vol. je 0.7-l-Fl.),Getränke,Spirituosen/Wodka,9.99,2025-06-16,2025-06-22,Rewe
Ballantine's Finest Blended Scotch Whisky (40% Vol. je 0.7-l-Fl.),Getränke,Spirituosen/Whisky,10.99,2025-06-16,2025-06-22,Rewe
Maggi Fix Gebratene Nudeln (je 26-g-Btl.) oder Magic Asia Würzpaste Curry Thai Style (je 65-g-Btl.),Lebensmittel,Kochzutaten/Fix-Produkte,0.44,2025-06-16,2025-06-22,Rewe
Maggi Magic Asia Nudel Snack (versch. Sorten je 62-g-Btl.),Lebensmittel,Fertiggerichte/Snacks,0.49,2025-06-16,2025-06-22,Rewe
Knorr Pasta Pot Käse & Sahne (je 63-g-Becher),Lebensmittel,Fertiggerichte/Snacks,0.99,2025-06-16,2025-06-22,Rewe
Kühne Schlemmertöpfchen (mit Kräutern verfeinert 300-g-Abtropfgew. je 530-g-Glas),Lebensmittel,Konserven/Feinkost,2.59,2025-06-16,2025-06-22,Rewe
Mars m&m's Crispy (je 128-g-Pckg.) oder m&m's Peanut (je 150-g-Btl.),Lebensmittel,Süßwaren,1.99,2025-06-16,2025-06-22,Rewe
Mentos Mint Kaubonbons (je 3 x 38-g-Pckg.) oder Chupa Chups Lollipops The Best of (je 120-g-Btl.),Lebensmittel,Süßwaren,1.29,2025-06-16,2025-06-22,Rewe
Marabou Milchschokolade (je 220-g-Tafel),Lebensmittel,Süßwaren/Schokolade,3.49,2025-06-16,2025-06-22,Rewe
DeBeukelaer Prinzen Rolle Cremys (je 172-g-Btl.) oder Prinzen Rolle Minis (je 187.5-g-Btl.),Lebensmittel,Süßwaren/Gebäck,1.59,2025-06-16,2025-06-22,Rewe
DeBeukelaer Cereola (versch. Sorten je 150-g-Pckg.),Lebensmittel,Süßwaren/Gebäck,1.49,2025-06-16,2025-06-22,Rewe
Bahlsen Comtess Kuchen (versch. Sorten je 350-g-Pckg.),Lebensmittel,Backwaren/Kuchen,1.79,2025-06-16,2025-06-22,Rewe
Jacobs Tassimo Morning Café XL Kaffeekapseln (je 163.8-g-Pckg.) oder Lungo Kaffeekapseln Intenso (je 104-g-Pckg.),Lebensmittel,Kaffee/Kapseln,4.44,2025-06-16,2025-06-22,Rewe
Jacobs Auslese oder Meisterröstung (versch. Sorten gemahlener Bohnenkaffee je 500-g-Pckg.),Lebensmittel,Kaffee,5.99,2025-06-16,2025-06-22,Rewe
Jacobs Gold (löslicher Bohnenkaffee je 200-g-Glas),Lebensmittel,Kaffee,6.99,2025-06-16,2025-06-22,Rewe
REWE Feine Welt Pistazien Creme (je 200-g-Glas),Lebensmittel,Brotaufstrich,3.49,2025-06-16,2025-06-22,Rewe
Züger Frischkäse Demeter Mozzarella (100-g-Abtropfgew. je 200-g-Pckg.),Lebensmittel,Milchprodukte/Käse,1.69,2025-06-16,2025-06-22,Rewe
Söbbeke Joghurt (versch. Sorten je 500-g-Glas zzgl. 0.15 Pfand),Lebensmittel,Milchprodukte/Joghurt,1.69,2025-06-16,2025-06-22,Rewe
Demeter Campo Verde Kichererbsen (230-g-Abtropfgew. je 350-g-Glas),Lebensmittel,Konserven/Hülsenfrüchte,1.59,2025-06-16,2025-06-22,Rewe
Demeter Campo Verde Bio Apfelmark (je 360-g-Glas),Lebensmittel,Brotaufstrich/Konserven,1.19,2025-06-16,2025-06-22,Rewe
Bio Gourmet Bio Sesam ungeschält (je 250-g-Btl.),Lebensmittel,Backzutaten/Saaten,2.39,2025-06-16,2025-06-22,Rewe
Bauck Mühle Bio Porridge Hot Hafer Beere ungesüßt (je 400-g-Btl.),Lebensmittel,Frühstück/Cerealien,3.29,2025-06-16,2025-06-22,Rewe
Rana Pasta (versch. Sorten je 250-g-Btl.),Lebensmittel,Pasta/Fertiggerichte,2.79,2025-06-16,2025-06-22,Rewe
Danone Activia Joghurt (versch. Sorten je 4 x 115-g-Becher-Pckg.),Lebensmittel,Milchprodukte/Joghurt,1.49,2025-06-16,2025-06-22,Rewe
Bifi Mini-Salami Original (je 6 x 20-g-Pckg.) oder Roll Original (je 3 x 45-g-Pckg.),Lebensmittel,Snacks/Wurstwaren,1.99,2025-06-16,2025-06-22,Rewe
REWE Beste Wahl Speisekartoffeln (je 2-kg-Btl.),Lebensmittel,Obst/Gemüse,2.99,2025-06-16,2025-06-22,Rewe
Maggi Würzsauce Texicana Salsa (je 500-ml-Fl.),Lebensmittel,Saucen/Ketchup,1.99,2025-06-16,2025-06-22,Rewe
Thomy Delikatess Mayonnaise (je 200-ml-Tube) oder Delikatess Mayonnaise (je 250-ml-Glas),Lebensmittel,Saucen/Ketchup,1.79,2025-06-16,2025-06-22,Rewe
Powerade Mountain Blast (je 1-l-Fl. zzgl. 0.25 Pfand),Getränke,Alkoholfreie Getränke,1.49,2025-06-16,2025-06-22,Rewe
Zewa Wisch & Weg Original (je 4 x 45-Blatt-Pckg.) oder Wisch & Weg Sparblatt (je 4 x 74-Blatt-Pckg.),Haushalt,Küchenpapier,2.59,2025-06-16,2025-06-22,Rewe
Pampers Baby Dry Pants Single Pack (Größe 5 je 24-St.-Pckg.) oder Baby Dry Windeln Single Pack (Maxi Größe 4 je 30-St.-Pckg.),Drogerie,Baby/Windeln,7.99,2025-06-16,2025-06-22,Rewe
L'Oréal Men Expert Duschgel Barber Club (je 250-ml-Fl.),Drogerie,Körperpflege/Duschgel,1.79,2025-06-16,2025-06-22,Rewe
L'Oréal Men Expert Deo Roll-On Carbon Protect (je 50-ml-Roller),Drogerie,Körperpflege/Deo,1.99,2025-06-16,2025-06-22,Rewe
Elvital Shampoo Hydra Hyaluronic (je 300-ml-Fl.),Drogerie,Haarpflege/Shampoo,2.99,2025-06-16,2025-06-22,Rewe
Nivea Shampoo (versch. Sorten je 250-ml-Fl.),Drogerie,Haarpflege/Shampoo,2.69,2025-06-16,2025-06-22,Rewe
Duschdas Duschgel (versch. Sorten je 225-ml-Fl.),Drogerie,Körperpflege/Duschgel,1.39,2025-06-16,2025-06-22,Rewe
Rexona Deospray (versch. Sorten je 150-ml-Dose),Drogerie,Körperpflege/Deo,2.29,2025-06-16,2025-06-22,Rewe
Bebe Reinigungstücher Trockene und Empfindliche Haut (je 25-St-Pckg.),Drogerie,Gesichtspflege,1.99,2025-06-16,2025-06-22,Rewe
Fit Spülmittel Original (je 750-ml-Fl.) oder Kuschelweich Weichspüler Sommerwind (je 1-l-Fl.),Haushalt,Spülmittel/Waschmittel,1.49,2025-06-16,2025-06-22,Rewe
Ariel Vollwaschmittel Pulver (je 18-WL-Pckg.) oder Colorwaschmittel flüssig (je 20-WL-Fl.),Haushalt,Waschmittel,4.99,2025-06-16,2025-06-22,Rewe
Tena Discreet Einlagen Extra (je 12-St-Pckg.) oder Discreet Ultra Einlagen Normal (je 20-St-Pckg.),Drogerie,Hygieneartikel,2.99,2025-06-16,2025-06-22,Rewe
Tempo feuchtes Toilettenpapier (versch. Sorten je 42-St-Pckg.),Haushalt,Toilettenpapier,1.39,2025-06-16,2025-06-22,Rewe
Zewa Toilettenpapier Ultra Soft 4-lagig (je 8 x 150-Blatt-Pckg.),Haushalt,Toilettenpapier,3.99,2025-06-16,2025-06-22,Rewe
Vitakraft Hundesnacks Duck XXL (z.B. 250-g-Pckg.),Tierbedarf,Hundenahrung/Snacks,4.99,2025-06-16,2025-06-22,Rewe
Christopherus Hundenahrung (versch. Sorten z.B. 12-kg-Pckg.),Tierbedarf,Hundenahrung/Trockenfutter,49.99,2025-06-16,2025-06-22,Rewe
Royal Canin Hundenahrung mini (versch. Sorten z.B. 8+1-kg-Pckg.),Tierbedarf,Hundenahrung/Trockenfutter,42.99,2025-06-16,2025-06-22,Rewe
Felix Katzennahrung (versch. Sorten 120 x 85-g-Pckg.),Tierbedarf,Katzennahrung/Nassfutter,39.99,2025-06-16,2025-06-22,Rewe
animonda Carny Katzennahrung (versch. Sorten z.B. 10-kg-Pckg.),Tierbedarf,Katzennahrung/Trockenfutter,55.99,2025-06-16,2025-06-22,Rewe
Josera Katzennahrung (versch. Sorten z.B. 6 x 200-g-Dose),Tierbedarf,Katzennahrung/Nassfutter,11.49,2025-06-16,2025-06-22,Rewe
ZooRoyal Katzennahrung Pasteten mit Huhn (versch. Sorten je 16-x-100-g-Pckg.),Tierbedarf,Katzennahrung/Nassfutter,6.19,2025-06-16,2025-06-22,Rewe
ZooRoyal Hundenahrung Pastete (versch. Sorten je 11-x-150-g-Pckg.),Tierbedarf,Hundenahrung/Nassfutter,4.29,2025-06-16,2025-06-22,Rewe
Gourmet Revelations Katzennahrung (versch. Sorten je 2 x 57-g-Pckg.),Tierbedarf,Katzennahrung/Nassfutter,1.29,2025-06-16,2025-06-22,Rewe
Vitakraft Beef Stick (versch. Sorten je 12-g-Pckg.),Tierbedarf,Hundenahrung/Snacks,0.35,2025-06-16,2025-06-22,Rewe
